year,month,day,dayoftheweek,time,type1,type2,type3,title,eventtitle,prefecture,place,with,info
2023,4,29,土,13:30,特典会,CD,シングル,秘密?Melody,「唯ちゃん聞いて！私の秘密！」メッセージお見せ会,東京,某所,ゲーマーズ,
2023,4,29,土,16:00,特典会,CD,シングル,秘密?Melody,「唯ちゃん聞いて！私の秘密！」メッセージお見せ会,東京,某所,ゲーマーズ,
2023,5,3,水,XX:XX,特典会,その他,カレンダー,小倉唯カレンダー2023.4-2024.3,池袋本店グランドオープン記念,東京,某所,アニメイト,
2023,5,20,土,13:30,特典会,CD,シングル,秘密?Melody,Secret Talk Party,東京,某所,コロムビアミュージックショップ,
2023,5,20,土,15:30,特典会,CD,シングル,秘密?Melody,Secret Talk Party,東京,某所,コロムビアミュージックショップ,
2023,7,15,土,,歩み,,,衣装展「ゆいくろーぜっと」を開催,,,,,
2023,7,17,月,,ライブ,ワンマン,,10th Anniversary Assemble!!,昼公演,,大宮ソニックシティ,,
2023,7,17,月,,ライブ,ワンマン,,10th Anniversary Assemble!!,夜公演,,大宮ソニックシティ,,
2023,7,23,日,,リリース,書籍,衣装図鑑,”ゆいくろーぜっと”衣装図鑑,,,,イマジカインフォス,
2023,8,27,日,,ライブ,フェス,アニサマ,Animelo Summer Live 2023,,,さいたまスーパーアリーナ,,
2023,9,3,日,14:30,特典会,その他,衣装図鑑,"""ゆいくろーぜっと""衣装図鑑",オンライントークショー,オンライン,,衣装展会場・事後通販,
2023,9,10,日,XX:XX,特典会,その他,衣装図鑑,"""ゆいくろーぜっと""衣装図鑑",特典ブロマイドサイン会,東京,某所,衣装展会場・アニメイト・ゲーマーズ,
2023,10,14,土,13:00,特典会,CD,シングル,Empty//Princess.,,東京,アニメイト池袋本店,アニメイト,
2023,10,14,土,15:00,特典会,CD,シングル,Empty//Princess.,,東京,アニメイト池袋本店,アニメイト,
2023,10,14,土,17:00,特典会,CD,シングル,Empty//Princess.,,東京,アニメイト池袋本店,アニメイト,
2023,10,21,土,14:00,特典会,CD,シングル,Empty//Princess.,,大阪,アニメイト大阪日本橋,アニメイト,
2023,10,21,土,16:00,特典会,CD,シングル,Empty//Princess.,,大阪,アニメイト大阪日本橋,アニメイト,
2023,10,21,土,18:30,特典会,CD,シングル,Empty//Princess.,,大阪,ゲーマーズなんば店,ゲーマーズ,
2023,10,22,日,13:00,特典会,CD,シングル,Empty//Princess.,,愛知,大須第一アメ横ビル会議室,ゲーマーズ,
2023,10,22,日,14:30,特典会,CD,シングル,Empty//Princess.,,愛知,大須第一アメ横ビル会議室,ゲーマーズ,
2023,10,22,日,17:00,特典会,CD,シングル,Empty//Princess.,,愛知,第3太閤ビル,アニメイト,
2023,10,22,日,18:30,特典会,CD,シングル,Empty//Princess.,,愛知,第3太閤ビル,アニメイト,
2023,10,29,日,13:00,特典会,CD,シングル,Empty//Princess.,,東京,某所,ゲーマーズ,
2023,10,29,日,15:00,特典会,CD,シングル,Empty//Princess.,,東京,某所,ゲーマーズ,
2023,10,29,日,17:00,特典会,CD,シングル,Empty//Princess.,,東京,某所,ゲーマーズ,
2023,11,22,水,,リリース,CD,シングル,Empty//Princess.,,,,,
2023,11,23,木,,ライブ,ワンマン,,To the 11'Eleven,昼公演,,パシフィコ横浜,,
